filename,sensor,file_idx,filter_type,order,band_idx,band_label,low_hz,high_hz,window_idx,window_start_s,filter_time_ms,rms,peak,crest_factor,zcr,band_power,spectral_centroid,rms_time_us,cf_time_us
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,20,40.600000,7.636600,0.000009,0.000048,5.193171,252.501052,0.000000,251.705422,677.499993,1102.900002
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,21,41.600000,7.743100,0.000009,0.000048,5.249603,252.101050,0.000000,251.414362,665.999993,1043.900003
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,22,42.600000,6.458500,0.000009,0.000026,3.041829,252.401052,0.000000,251.910186,840.499997,1694.399994
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,23,43.600000,7.172200,0.000012,0.000100,8.021127,252.201051,0.000000,247.539039,560.799992,1002.999998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,24,44.600000,6.955300,0.000031,0.000119,3.876956,251.001046,0.000000,246.463823,873.099998,1420.899993
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,25,45.600000,6.846700,0.000032,0.000119,3.674062,251.301047,0.000000,245.471559,900.200001,1431.199998
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,26,46.600000,6.443000,0.000032,0.000119,3.662113,252.001050,0.000000,245.565507,629.700007,1252.999995
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,27,47.600000,6.237700,0.000033,0.000119,3.651342,251.801049,0.000000,245.600577,843.800008,1276.199997
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,28,48.600000,6.402600,0.000702,0.008879,12.650327,251.401048,0.000000,239.245351,540.699999,998.200005
G80_8_3_0_AccAxial4507.wav,AccAxial4507,0,Butterworth,3,1,225–283 Hz,225,283,29,49.600000,5.946400,0.000707,0.008879,12.549849,253.101055,0.000001,239.469072,647.599998,1142.499998
